Performance_Constraint,BCR_disabled_RT,BCR_M/RT_RT,BCR_C/ERT_RT,BCR_MAX_RT,BCR_disabled_Cost,BCR_M/RT_Cost,BCR_C/ERT_Cost,BCR_MAX_Cost,BCR_disabled_Config,BCR_M/RT_Config,BCR_C/ERT_Config,BCR_MAX_Config,BCR_disabled_Iterations,BCR_M/RT_Iterations,BCR_C/ERT_Iterations,BCR_MAX_Iterations,BCR_threshold
2853.460899999999,2851.377085714285,2851.377085714285,2851.377085714285,2851.377085714285,87.84557142857143,87.84557142857143,87.84557142857143,87.84557142857143,"{1: 896, 2: 1856, 3: 1664, 4: 2240, 6: 1856}","{1: 896, 2: 1856, 3: 1664, 4: 2240, 6: 1856}","{1: 896, 2: 1856, 3: 1664, 4: 2240, 6: 1856}","{1: 896, 2: 1856, 3: 1664, 4: 2240, 6: 1856}",7.0,7.0,7.0,13.0,0.2
3081.539342135641,3078.3510285714274,3078.3510285714274,3078.3510285714274,3064.554942857141,86.53357142857143,86.53357142857143,86.53357142857143,77.66300000000001,"{1: 704, 2: 1664, 3: 1664, 4: 2240, 6: 1856}","{1: 704, 2: 1664, 3: 1664, 4: 2240, 6: 1856}","{1: 704, 2: 1664, 3: 1664, 4: 2240, 6: 1856}","{1: 896, 2: 1280, 3: 1088, 4: 1664, 6: 1856}",7.0,7.0,7.0,14.0,0.2
3309.617784271283,3303.2740428571415,3303.2740428571415,3303.2740428571415,3290.0768714285696,77.2597142857143,77.2597142857143,77.2597142857143,80.02428571428572,"{1: 704, 2: 1856, 3: 1664, 4: 1280, 6: 2048}","{1: 704, 2: 1856, 3: 1664, 4: 1280, 6: 2048}","{1: 704, 2: 1856, 3: 1664, 4: 1280, 6: 2048}","{1: 704, 2: 1856, 3: 1664, 4: 1664, 6: 1472}",7.0,7.0,7.0,13.0,0.2
3537.6962264069252,3490.3505857142845,3490.3505857142845,3490.3505857142845,3490.3505857142845,71.63314285714286,71.63314285714286,71.63314285714286,71.63314285714286,"{1: 704, 2: 1280, 3: 1088, 4: 1280, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 1280, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 1280, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 1280, 6: 1472}",7.0,7.0,7.0,15.0,0.2
3765.7746685425677,3753.3945999999987,3753.3945999999987,3753.3945999999987,3693.9324857142847,70.87614285714285,70.87614285714285,70.87614285714285,71.42514285714284,"{1: 704, 2: 1472, 3: 1664, 4: 896, 6: 1856}","{1: 704, 2: 1472, 3: 1664, 4: 896, 6: 1856}","{1: 704, 2: 1472, 3: 1664, 4: 896, 6: 1856}","{1: 704, 2: 1280, 3: 1088, 4: 1280, 6: 1088}",7.0,7.0,7.0,16.0,0.2
3993.8531106782098,3881.3265857142846,3881.3265857142846,3881.3265857142846,3881.3265857142846,68.95742857142858,68.95742857142858,68.95742857142858,68.95742857142858,"{1: 704, 2: 1280, 3: 1088, 4: 896, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 896, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 896, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 896, 6: 1472}",7.0,7.0,7.0,16.0,0.2
4221.931552813852,4218.546985714283,4218.546985714283,4218.546985714283,4218.546985714283,70.31885714285714,70.31885714285714,70.31885714285714,70.31885714285714,"{1: 704, 2: 1664, 3: 1664, 4: 704, 6: 1472}","{1: 704, 2: 1664, 3: 1664, 4: 704, 6: 1472}","{1: 704, 2: 1664, 3: 1664, 4: 704, 6: 1472}","{1: 704, 2: 1664, 3: 1664, 4: 704, 6: 1472}",7.0,7.0,7.0,17.0,0.2
4450.009994949494,4445.49117142857,4445.49117142857,4445.49117142857,4420.544014285712,69.03771428571427,69.03771428571427,69.03771428571427,67.58057142857143,"{1: 704, 2: 1472, 3: 1664, 4: 704, 6: 1088}","{1: 704, 2: 1472, 3: 1664, 4: 704, 6: 1088}","{1: 704, 2: 1472, 3: 1664, 4: 704, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 704, 6: 1472}",7.0,7.0,7.0,18.0,0.2
4678.088437085136,4655.721042857142,4655.721042857142,4655.721042857142,4624.1259142857125,65.93257142857144,65.93257142857144,65.93257142857144,67.37257142857142,"{1: 896, 2: 1280, 3: 1088, 4: 512, 6: 1472}","{1: 896, 2: 1280, 3: 1088, 4: 512, 6: 1472}","{1: 896, 2: 1280, 3: 1088, 4: 512, 6: 1472}","{1: 704, 2: 896, 3: 1088, 4: 704, 6: 1088}",7.0,7.0,7.0,19.0,0.2
4906.166879220778,4861.9960142857135,4861.9960142857135,4861.9960142857135,4861.9960142857135,65.69028571428572,65.69028571428572,65.69028571428572,65.69028571428572,"{1: 704, 2: 1280, 3: 1088, 4: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 512, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 512, 6: 1472}",7.0,7.0,7.0,17.0,0.2
5134.24532135642,5065.577914285714,5065.577914285714,5065.577914285714,5065.577914285714,65.48228571428571,65.48228571428571,65.48228571428571,65.48228571428571,"{1: 704, 2: 1280, 3: 1088, 4: 512, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 512, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 512, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 512, 6: 1088}",7.0,7.0,7.0,18.0,0.2
5362.323763492062,5211.90077142857,5211.90077142857,5211.90077142857,5211.90077142857,65.00685714285713,65.00685714285713,65.00685714285713,65.00685714285713,"{1: 704, 2: 896, 3: 1088, 4: 512, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 512, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 512, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 512, 6: 1088}",7.0,7.0,7.0,19.0,0.2
5590.4022056277045,5431.370599999999,5431.370599999999,5431.370599999999,5431.370599999999,64.65371428571429,64.65371428571429,64.65371428571429,64.65371428571429,"{1: 704, 2: 896, 3: 512, 4: 512, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 512, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 512, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 512, 6: 1088}",7.0,7.0,7.0,20.0,0.2
5818.4806477633465,5806.240471428572,5806.240471428572,5806.240471428572,5431.370599999999,62.944,62.944,62.944,64.65371428571429,"{1: 896, 2: 1280, 3: 1088, 4: 320, 6: 1472}","{1: 896, 2: 1280, 3: 1088, 4: 320, 6: 1472}","{1: 896, 2: 1280, 3: 1088, 4: 320, 6: 1472}","{1: 704, 2: 896, 3: 512, 4: 512, 6: 1088}",7.0,7.0,7.0,20.0,0.2
6046.5590898989885,6012.515442857143,6012.515442857143,6012.515442857143,6012.515442857143,62.70171428571428,62.70171428571428,62.70171428571428,62.70171428571428,"{1: 704, 2: 1280, 3: 1088, 4: 320, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 320, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 320, 6: 1472}","{1: 704, 2: 1280, 3: 1088, 4: 320, 6: 1472}",7.0,7.0,7.0,18.0,0.2
6274.637532034631,6216.097342857143,6216.097342857143,6216.097342857143,6216.097342857143,62.493714285714276,62.493714285714276,62.493714285714276,62.493714285714276,"{1: 704, 2: 1280, 3: 1088, 4: 320, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 320, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 320, 6: 1088}","{1: 704, 2: 1280, 3: 1088, 4: 320, 6: 1088}",7.0,7.0,7.0,19.0,0.2
6502.715974170273,6362.4202,6362.4202,6362.4202,6362.4202,62.0182857142857,62.0182857142857,62.0182857142857,62.0182857142857,"{1: 704, 2: 896, 3: 1088, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 320, 6: 1088}",7.0,7.0,7.0,20.0,0.2
6730.794416305915,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
6958.872858441558,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
7186.9513005772,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
7415.029742712842,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
7643.108184848484,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
7871.186626984126,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
8099.265069119768,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
8327.34351125541,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
8555.421953391051,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
8783.500395526695,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
9011.578837662337,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
9239.657279797979,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
9467.73572193362,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
9695.814164069263,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
9923.892606204905,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
10151.971048340547,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
10380.049490476189,6581.890028571429,6581.890028571429,6581.890028571429,6581.890028571429,61.66514285714285,61.66514285714285,61.66514285714285,61.66514285714285,"{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
10608.127932611831,10594.388914285713,10594.388914285713,10594.388914285713,6581.890028571429,62.44557142857143,62.44557142857143,62.44557142857143,61.66514285714285,"{1: 896, 2: 1472, 3: 1664, 4: 128, 6: 1856}","{1: 896, 2: 1472, 3: 1664, 4: 128, 6: 1856}","{1: 896, 2: 1472, 3: 1664, 4: 128, 6: 1856}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
10836.206374747473,10832.97577142857,10832.97577142857,10832.97577142857,6581.890028571429,61.01357142857142,61.01357142857142,61.01357142857142,61.66514285714285,"{1: 704, 2: 1280, 3: 1088, 4: 128, 6: 1856}","{1: 704, 2: 1280, 3: 1088, 4: 128, 6: 1856}","{1: 704, 2: 1280, 3: 1088, 4: 128, 6: 1856}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
11064.284816883115,11055.804628571426,11055.804628571426,11055.804628571426,6581.890028571429,63.409142857142854,63.409142857142854,63.409142857142854,61.66514285714285,"{1: 704, 2: 1856, 3: 1664, 4: 128, 6: 1088}","{1: 704, 2: 1856, 3: 1664, 4: 128, 6: 1088}","{1: 704, 2: 1856, 3: 1664, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
11292.363259018759,11278.500628571426,11278.500628571426,11278.500628571426,6581.890028571429,59.601142857142854,59.601142857142854,59.601142857142854,61.66514285714285,"{1: 704, 2: 896, 3: 1088, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 1088, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 320, 6: 1088}",7.0,7.0,7.0,21.0,0.2
11520.4417011544,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
11748.520143290043,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
11976.598585425683,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
12204.677027561327,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
12432.755469696967,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
12660.833911832611,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
12888.912353968251,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
13116.990796103895,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
13345.069238239535,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
13573.14768037518,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
13801.22612251082,11497.970457142856,11497.970457142856,11497.970457142856,11497.970457142856,59.24799999999999,59.24799999999999,59.24799999999999,59.24799999999999,"{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}","{1: 704, 2: 896, 3: 512, 4: 128, 6: 1088}",7.0,7.0,7.0,22.0,0.2
